Temps, Conills, Conills infectats, Salut conills
0,10,0,0
30,10,0,0
60,10,3,0
90,10,5,0
120,10,6,0
150,10,8,0
180,24,8,0,120315
210,24,12,0,120315
240,21,12,0,1375029
270,20,13,0,144378
300,18,13,0,1895838
330,16,14,0,2132818
360,25,17,0,2723013
390,23,18,0,3036933
420,23,19,0,3036933
450,22,18,0,3462209
480,32,19,0,3653476
510,31,19,0,3864254
540,33,20,0,4087424
570,32,20,0,4159279
600,29,18,0,4631495
630,29,16,0,5109396
660,46,15,0,4670565
690,49,22,0,4986493
720,48,26,0,5042061
750,49,25,0,5179459
780,57,28,0,5449588
810,69,35,0,5318041
840,86,42,0,5325943
870,88,51,0,5581359
900,89,57,0,5726573
930,104,63,0,5928217
960,119,75,0,5945107
990,139,96,0,5865532
1020,149,122,0,5853088
1050,142,131,0,6280916
1080,159,133,0,6296172
1110,179,152,0,6338248
1140,203,169,0,6244873
1170,218,193,0,6250929
