Temps, Conills, Conills infectats, Salut conills
0,10,0,0
30,10,0,0
60,10,3,0
90,10,3,0
120,10,4,0
150,10,10,0
180,27,13,-0,1118446
210,27,22,-0,1118446
240,24,22,-0,04790919
270,20,19,0,007918403
300,19,19,0,04412907
330,16,16,0,05240327
360,29,20,-0,01526498
390,23,19,0,008647664
420,21,19,0,009471251
450,19,18,0,04339529
480,17,16,0,1062815
510,18,15,0,1053255
540,27,15,-0,01913035
570,20,16,-0,02582597
600,19,17,-0,02718523
630,13,12,0,1407104
660,11,10,0,2733796
690,17,8,0,3723993
720,16,8,0,4046501
750,15,10,0,4316268
780,14,9,0,4624572
810,14,11,0,4624572
840,14,11,0,4624572
870,21,10,0,4518654
900,21,14,0,4518654
930,21,14,0,4518654
960,20,15,0,4513577
990,19,17,0,4585275
1020,30,17,0,5244979
1050,41,18,0,4974025
1080,40,21,0,5112681
1110,40,31,0,5112681
1140,38,30,0,570703
1170,38,35,0,570703
